outcome,a_vs_b
c_haz,"52.733337007201, p = 0.001"
c_waz,"7.70335048437119, p = 0.064"
c_whz,"35.1558159747801, p = 0.004"
c_bmiz,"13.6302156328165, p = 0.041"
