term,estimate,std.error,statistic,p.value,model
(Intercept),-1.6175395140764595,0.14941707312447078,-10.825667243053143,3.363949511034365e-27,m6a
phase2,0.052500115442720874,0.07990103423303073,0.657064278912895,0.5111507757124297,m6a
"c_age3mo[3,6)",-0.17368730244257954,0.06581547050999294,-2.6390041899982792,0.00832453437172686,m6a
"c_age3mo[6,9)",-0.11629756182073726,0.06378816921303929,-1.8231838796364803,0.06829762678155418,m6a
"c_age3mo[9,12)",-0.016839427421517845,0.066526441897086,-0.2531238247728299,0.8001763789312735,m6a
"c_age3mo[12,15)",0.19926649748407438,0.05874607311318673,3.3919968931394844,6.958412131028865e-4,m6a
"c_age3mo[15,18)",0.39024960571727957,0.056141810245052805,6.951140407013652,3.789682867916802e-12,m6a
"c_age3mo[18,21)",0.4964157256403671,0.05564948840080126,8.920400526686954,5.236298410745214e-19,m6a
"c_age3mo[21,24)",0.5394398896803727,0.055127614606705566,9.785293514491316,1.547062038146022e-22,m6a
"c_age3mo[24,27)",0.34901654761669176,0.056207440284931125,6.209436790706532,5.473176662855107e-10,m6a
"c_age3mo[27,30)",0.3321351867522762,0.05693186339527121,5.833906830807571,5.5383917737305856e-9,m6a
"c_age3mo[30,33)",0.35179601660363796,0.056881303052526255,6.184739057028577,6.399813686514524e-10,m6a
"c_age3mo[33,36)",0.49515538568648854,0.05478326394147313,9.038442583769385,1.8025309068958554e-19,m6a
"c_age3mo[36,39)",0.40039904944291577,0.05865724795905377,6.826079698154574,9.098946934423083e-12,m6a
"c_age3mo[39,42)",0.3848978058888768,0.057688803329520824,6.671967239298147,2.6222672811041368e-11,m6a
"c_age3mo[42,45)",0.4638843968876012,0.054138624406731485,8.568455552223503,1.1615045903397054e-17,m6a
"c_age3mo[45,48)",0.4706969638439117,0.05519883188652033,8.527299360457242,1.6558058213552878e-17,m6a
"c_age3mo[48,51)",0.3077853640648406,0.057081260829996414,5.392056159752839,7.082727105914997e-8,m6a
"c_age3mo[51,54)",0.3398164451395753,0.05722460263023322,5.938292788774065,2.9507544044237455e-9,m6a
"c_age3mo[54,57)",0.3550496369768843,0.05673803670377143,6.257700435258166,4.0249068465558285e-10,m6a
"c_age3mo[57,60]",0.5096948559638517,0.05417080194793829,9.409032867072968,5.803665028899401e-21,m6a
m_rural,0.08831204169897622,0.01826525930540234,4.834973335027116,1.346294176924134e-6,m6a
factor(sdist)37,-0.06259369629089322,0.20293819260347187,-0.3084372413486369,0.7577544019272002,m6a
factor(sdist)38,-0.2371742743163828,0.2106710856635075,-1.1258036363623591,0.2602686370598062,m6a
factor(sdist)39,-0.32189996924670783,0.18708629442396923,-1.7205962106300954,0.08534701261218192,m6a
factor(sdist)40,0.1803287163485194,0.1835191422856155,0.9826152961627799,0.3258144041913995,m6a
factor(sdist)41,-0.1135594767599788,0.17472544763679987,-0.6499309533665285,0.5157478702489461,m6a
factor(sdist)42,-0.1241862424724239,0.19359831318753254,-0.6414634530008979,0.521232497350318,m6a
factor(sdist)44,0.21029395653984417,0.186724153830266,1.126227926200717,0.2600890546856266,m6a
factor(sdist)45,0.0919297335155374,0.16928163718400077,0.5430579184180168,0.5870988817623106,m6a
factor(sdist)46,-0.1774153848192242,0.20643148614548348,-0.8594395561062325,0.39011329882529255,m6a
factor(sdist)47,0.24943802599289705,0.167011362684672,1.4935392537563554,0.13531943323238924,m6a
factor(sdist)48,-0.23478778553965216,0.1876463561792392,-1.251224858932958,0.21087411054702349,m6a
factor(sdist)49,-0.23455273031900395,0.21831441513115954,-1.0743804076248868,0.28267140223529125,m6a
factor(sdist)50,-0.07104023922259173,0.20000968230284527,-0.35518400111763554,0.7224572926718823,m6a
factor(sdist)51,-0.4876788500995777,0.24127016734071363,-2.0212977653838733,0.04326862481856605,m6a
factor(sdist)52,-0.04070454002534985,0.2100040188658408,-0.19382743361379948,0.8463139186053608,m6a
factor(sdist)53,-0.02044068782668436,0.20084579297138225,-0.10177304450483,0.9189383318089053,m6a
factor(sdist)54,0.35284673123757515,0.18574344795739256,1.89964564089773,0.05750090716389689,m6a
factor(sdist)55,0.045043764163544865,0.1947663366617757,0.23127078804057533,0.817107940601642,m6a
factor(sdist)56,0.2428993951978934,0.17187136918523463,1.4132626995954642,0.1576015291103089,m6a
factor(sdist)57,0.3294705575022391,0.16813650259742502,1.9595421125839743,0.05006985828279038,m6a
factor(sdist)58,0.009533818312721955,0.16657197851600225,0.057235426976729224,0.9543585039434911,m6a
factor(sdist)59,0.14715910469850418,0.1768186177849121,0.8322602367444887,0.4052767762416649,m6a
factor(sdist)60,-0.1924077322835924,0.20628620856778923,-0.9327222290789443,0.3509800679811531,m6a
factor(sdist)61,0.0744518721093465,0.1997700053188745,0.3726879417683642,0.7093865566944213,m6a
factor(sdist)62,0.09850868702474702,0.18908715568325948,0.5209697436549273,0.6023963847577795,m6a
factor(sdist)63,-0.06833526762071171,0.2144606983355285,-0.3186377184774418,0.7500061721523106,m6a
factor(sdist)64,0.0217556978547739,0.19962083763762065,0.10898510452234375,0.9132159229344037,m6a
factor(sdist)65,-0.022450592428208647,0.1852604028294749,-0.12118397717656675,0.9035471166292863,m6a
factor(sdist)66,-0.12492609569534571,0.18636257984585342,-0.6703389478653717,0.5026531988687146,m6a
factor(sdist)67,-0.11630937556719544,0.16474681761112211,-0.7059886027160706,0.48020739521893885,m6a
factor(sdist)68,-0.08524338510233555,0.1843807474335889,-0.4623225921840831,0.6438574436995186,m6a
factor(sdist)69,-0.09492479666004353,0.21246110827040798,-0.44678669631728,0.6550362373650345,m6a
factor(sdist)70,-0.1430178220852296,0.17990858232319026,-0.7949471906143444,0.42665818263413613,m6a
factor(sdist)71,0.008841504434382247,0.17228415164277755,0.05131931376203807,0.9590718367039437,m6a
factor(sdist)72,-0.11860709349031175,0.1869464952715238,-0.6344440601469693,0.525801802583479,m6a
factor(sdist)73,0.2017508752163101,0.1868528564343729,1.0797312873146776,0.2802811267139197,m6a
factor(sdist)74,0.057386422323488,0.16349342378735046,0.3510014102960391,0.7255927618583295,m6a
factor(sdist)75,-0.09567979764571813,0.160181790555913,-0.5973200656183212,0.5503037179182093,m6a
factor(sdist)76,-0.07641982456485949,0.17625240122337396,-0.433581750004124,0.6645991105175475,m6a
factor(sdist)77,-0.07100841223009972,0.17466876153368632,-0.40653183549598343,0.6843583079897839,m6a
factor(sdist)78,-0.009746469007149459,0.16714249496791173,-0.05831233408966763,0.9535007052120259,m6a
factor(sdist)79,-0.022841788792595224,0.20784009713128138,-0.10990078001246939,0.912489695796752,m6a
factor(sdist)80,0.014080371893036457,0.17651424020999903,0.07976904229531302,0.9364221276431848,m6a
factor(sdist)82,-0.015399474764066941,0.1801425466041274,-0.08548493986769315,0.931877134246322,m6a
factor(sdist)83,-0.46224263431495644,0.20028891160610093,-2.307879305989879,0.021020878806491304,m6a
factor(sdist)84,-0.014927059056868416,0.18889227981031873,-0.07902418813441092,0.9370145539113408,m6a
factor(sdist)85,0.031489800750972394,0.18682895688518456,0.16854882281617833,0.8661540603640544,m6a
factor(sdist)86,-0.10768469868191824,0.2066664681690321,-0.5210554940816191,0.6023366511112485,m6a
factor(sdist)87,0.22630014295609752,0.15879602159839326,1.425099575406411,0.15415151345831954,m6a
factor(sdist)88,0.10528582165840329,0.16729952902621284,0.6293252722899589,0.5291467675411772,m6a
factor(sdist)89,0.07298439044130499,0.16322564838324952,0.447138002907114,0.6547825874225206,m6a
factor(sdist)99,-0.1021010584578924,0.18757735338512765,-0.5443144207726498,0.5862341056125708,m6a
factor(sdist)100,-0.17644813464763415,0.17669819689028504,-0.9985848059173679,0.3180137430518758,m6a
