term,estimate,std.error,statistic,p.value,model
factor(sdist)101,-0.29311694229822133,0.18699107857108593,-1.5675450643854698,0.11701075463429302,m6a
factor(sdist)102,-0.15078038311753175,0.17189335236953257,-0.877174021211637,0.3804077173101367,m6a
factor(sdist)103,-0.2818917988806624,0.18431778633211574,-1.5293792557422077,0.1261938572989146,m6a
factor(sdist)104,0.10629696353507168,0.16433463799559403,0.646832371017981,0.5177514249263725,m6a
factor(sdist)105,0.20037616260384983,0.15940886345625843,1.2569951146965725,0.20877712892216543,m6a
factor(sdist)106,0.3668170694192061,0.1521197857778715,2.4113698789639377,0.015905971929735897,m6a
factor(sdist)107,0.12653010485097987,0.16007265399201448,0.7904542199774613,0.42927641856466836,m6a
factor(sdist)108,-0.16951453048820136,0.18796629556515101,-0.9018347144552089,0.36716074836764623,m6a
factor(sdist)109,0.22178776329339134,0.16449908896775992,1.3482613471303746,0.17759693599732365,m6a
factor(sdist)110,-0.053474848036217285,0.16251313066659712,-0.3290493993739085,0.7421234488438306,m6a
factor(sdist)111,-0.15890429845644435,0.17164384196828597,-0.925779198567488,0.35457727108402703,m6a
factor(sdist)112,0.10026887771529097,0.17185363399384826,0.5834550913184661,0.5595967172892211,m6a
factor(sdist)113,0.1231121869474411,0.1613067621232733,0.7632177679777412,0.44534685674758523,m6a
factor(sdist)114,-0.15096633958555908,0.18071785060048853,-0.8353703803134486,0.4035239698623839,m6a
factor(sdist)115,0.29997092576410395,0.18646138322112704,1.608756304292586,0.10769299755287708,m6a
factor(sdist)116,0.40211614077086755,0.18406994424568968,2.1845833789906406,0.02893652910840924,m6a
factor(sdist)117,-0.08135432096074201,0.17605172899995175,-0.46210464062391743,0.6440137215021859,m6a
factor(sdist)118,0.18611915976604393,0.15978485308464302,1.1648110329171866,0.2441160527845101,m6a
factor(sdist)119,-0.24451711921162528,0.1827987724753653,-1.3376299846027544,0.1810395952343564,m6a
factor(sdist)120,0.11737125963571925,0.17281340661146374,0.6791791327834013,0.4970359991015014,m6a
factor(sdist)121,-0.03846217177046323,0.17348170721911213,-0.2217073626205699,0.8245450481513242,m6a
factor(sdist)122,-0.3566729902589802,0.18860409365254083,-1.8911200883903783,0.05862968279810226,m6a
factor(sdist)123,0.03141722289754607,0.16809913250296532,0.18689699601508566,0.8517442000988824,m6a
factor(sdist)124,-0.019000721260352266,0.1872300337999975,-0.10148329770985984,0.9191683211679005,m6a
factor(sdist)125,0.27846415567291044,0.15828813271973605,1.7592232019437446,0.07856223130335821,m6a
factor(sdist)126,0.034968730598985476,0.17451315098192133,0.20037877032320653,0.8411873768515742,m6a
factor(sdist)127,0.05915671427674491,0.1905950668144548,0.31037904215188455,0.756277516061701,m6a
factor(sdist)128,0.3857752167581063,0.15692688199431645,2.4583118701872775,0.01397164284223181,m6a
factor(sdist)129,0.13901891741257758,0.16573368115494225,0.838809084814876,0.4015912884907127,m6a
factor(sdist)130,0.06493875030219394,0.18354411787537067,0.35380458417244603,0.7234908571910463,m6a
factor(sdist)131,-0.17343275688270948,0.1678261025805007,-1.0334075225248078,0.3014317201513149,m6a
factor(sdist)132,-0.12243456718078102,0.15973361071114078,-0.7664922030854818,0.4433968780597667,m6a
factor(sdist)134,0.1109146067555659,0.16177526727443756,0.6856091702040522,0.49297135787759894,m6a
factor(sdist)136,0.20329264866998775,0.1596905329519834,1.2730413313299846,0.20302527455626249,m6a
factor(sdist)137,0.19713974252823305,0.15679126044049455,1.2573388464024216,0.20865269125759645,m6a
factor(sdist)138,0.0772376324243283,0.16313624159606774,0.4734547741731844,0.6358964073688795,m6a
factor(sdist)139,-0.15492613253138574,0.16736015593073636,-0.9257049963284179,0.3546158407895672,m6a
factor(sdist)141,-0.08969580828904403,0.19283263130017642,-0.46514849527421226,0.641832614299684,m6a
factor(sdist)142,0.15176013340223687,0.1555927837977035,0.9753674283477716,0.3293954929542432,m6a
factor(sdist)143,-0.0077543292581663875,0.155398508119206,-0.04989963772508068,0.9602031034427837,m6a
factor(sdist)144,0.15147995314485005,0.15682207345009985,0.965935150660091,0.334093916976429,m6a
factor(sdist)145,0.037241269435947605,0.1619933915303987,0.2298937572953964,0.8181778068223398,m6a
factor(sdist)146,0.0872796556414498,0.16532950127282803,0.5279133788555995,0.5975681260773454,m6a
factor(sdist)147,0.33626594144610444,0.1545050853729833,2.1764069488997144,0.02954210152296843,m6a
factor(sdist)148,0.28062210218867184,0.15304545008698348,1.8335867027028905,0.06673734789587255,m6a
factor(sdist)150,0.27991157092475255,0.16017707052109353,1.7475133613952025,0.08057104124320362,m6a
factor(sdist)151,0.18493636059302934,0.16831693261580197,1.0987388952433126,0.27190154603407357,m6a
factor(sdist)152,0.27154617550249954,0.15077576319047728,1.800993540052264,0.0717261829992009,m6a
factor(sdist)153,0.26236779142664257,0.15119662723279284,1.7352754239860315,0.08271482905583417,m6a
factor(sdist)154,0.2820608952189447,0.14972927103380326,1.8838059737515578,0.059612675540116955,m6a
factor(sdist)155,0.23822095620734474,0.153709886938087,1.5498089352137645,0.121210798379452,m6a
factor(sdist)156,0.08182792124450149,0.16703440769992617,0.48988661899830627,0.624222084545538,m6a
factor(sdist)157,0.02225979951874425,0.17493475535939595,0.12724629518595346,0.89874735809891515,m6a
factor(sdist)159,0.29103145122971735,0.14887678330766344,1.9548477926761902,0.05062162476895231,m6a
factor(sdist)160,0.2543229168010381,0.1494039745074086,1.702250008003815,0.08873151064025803,m6a
factor(sdist)161,0.24699123092910866,0.15682203692817176,1.574977826886897,0.11528497093497987,m6a
factor(sdist)162,0.21984989057247703,0.15062076478325184,1.4596253769448597,0.14441630493587743,m6a
factor(sdist)163,0.2773121809853604,0.15845377446427295,1.7501140753695763,0.08012132483754855,m6a
factor(sdist)164,0.13523276785652258,0.16564133073584378,0.8164192309719173,0.4142747919933857,m6a
factor(sdist)165,0.3211659886802552,0.1567812247623436,2.0484977660245596,0.0405305270966692,m6a
factor(sdist)166,0.2464129548058603,0.1690382603931307,1.4577348005876305,0.14493689273368554,m6a
factor(sdist)167,0.3512033631194988,0.15610026956809608,2.2498575056354553,0.024474014633131622,m6a
factor(sdist)168,0.44837592745642746,0.15870106303694964,2.825286226041436,0.004730764054431064,m6a
factor(sdist)169,0.25722632919097166,0.15448131261130937,1.6650967346333931,0.09591663828817378,m6a
factor(sdist)170,0.4588741367363162,0.15685386114896985,2.9254883072371847,0.0034448812889685252,m6a
factor(sdist)171,0.364435037226014,0.15727226840761396,2.3172237605264345,0.020506413498146994,m6a
factor(sdist)172,0.37323228756186616,0.15197793800416443,2.4558320270909255,0.014068379408085155,m6a
factor(sdist)173,0.09124372473439239,0.15837210809348945,0.5761350646449048,0.5645334865662679,m6a
factor(sdist)174,0.1511312147880121,0.15759530406697378,0.958982982917977,0.3375844742130536,m6a
factor(sdist)175,0.21692554790836371,0.1608406745367294,1.3486983223191273,0.1774564845961979,m6a
factor(sdist)176,0.07441819094576335,0.1519790902831842,0.4896607211366983,0.6243819489796305,m6a
factor(sdist)177,0.01666414554774866,0.17179722968640418,0.09699891888924586,0.9227286914144994,m6a
factor(sdist)178,0.05443838919006923,0.1612815183392329,0.33753643784259124,0.7357177910685385,m6a
factor(sdist)180,0.3113365287865478,0.15042365769148686,2.069731141793447,0.03849648551153518,m6a
factor(sdist)181,0.29421998853081593,0.14973396832240005,1.9649515191991405,0.04944030292107452,m6a
factor(sdist)182,0.11916076310768309,0.15463715331844338,0.7705830102956954,0.44096760575477456,m6a
factor(sdist)183,0.2185857506345561,0.15560545724445274,1.404743474331769,0.16012055718247037,m6a
factor(sdist)184,0.08432478392285532,0.15956036666618456,0.5284820139531942,0.5971735058801034,m6a
factor(sdist)185,0.07619611229049433,0.15590172994124443,0.4887444951329969,0.6250305292624323,m6a
factor(sdist)186,0.2250047508306586,0.15068182893884471,1.4932440919732821,0.1353966497911968,m6a
factor(sdist)187,0.19589067758545187,0.15759538276358828,1.2429975685221124,0.2138902945486623,m6a
factor(sdist)188,-0.02234203761998787,0.16954411928690102,-0.13177713101438143,0.8951625373169433,m6a
factor(sdist)189,0.00927154636590244,0.16591853767769268,0.05588011138281009,0.955438140972924,m6a
factor(sdist)190,0.1734790377990571,0.16903487492791386,1.026291396216541,0.30477262074767875,m6a
factor(sdist)191,0.0707252606544295,0.15734951256129107,0.44947874005571176,0.6530935496870879,m6a
factor(sdist)192,-0.13427689985862623,0.18346723903773432,-0.7318848888929377,0.46425152158133254,m6a
factor(sdist)193,0.28886285449982524,0.1705815599849548,1.6934002393066565,0.09040235582004504,m6a
factor(sdist)194,0.24845822077214993,0.1657794061729461,1.498727896955734,0.1339675943430097,m6a
factor(sdist)195,0.18558142546473885,0.18118596630439682,1.0242593797411306,0.30573111236084805,m6a
factor(sdist)196,0.21375354265348173,0.1640874428033183,1.3026806866001026,0.19270599609879357,m6a
factor(sdist)197,0.2116439317190654,0.16046759369185945,1.3189200813061244,0.18721818031880752,m6a
factor(sdist)198,0.2580537146551522,0.1552327877143027,1.6623660404146428,0.09646259522283944,m6a
factor(sdist)199,0.2273312163001157,0.15965074227138865,1.423928339234889,0.15449030544895548,m6a
factor(sdist)200,0.1393140136161085,0.1552647934889134,0.8972672457523744,0.3695923139709125,m6a
factor(sdist)201,0.3603074919986322,0.15143738677585,2.3792505910838333,0.01736167847427408,m6a
factor(sdist)202,0.2659813871138616,0.14708511396864507,1.8083501446010526,0.07057424101326638,m6a
factor(sdist)245,-0.12147095263327207,0.21263200478990094,-0.5712731380833098,0.5678240074879619,m6a
factor(sdist)246,-0.3216319774801113,0.21919044498550885,-1.4673631302741097,0.1423005699235302,m6a
factor(sdist)247,0.03918067890672362,0.16865037673816513,0.23231895276197825,0.8162938108375193,m6a
factor(sdist)248,-0.008232137742860433,0.16029294477718045,-0.05135683142076989,0.9590419419212481,m6a
factor(sdist)249,0.10735353218026945,0.17680254502255974,0.607194495795133,0.543732046100232,m6a
factor(sdist)252,-0.07246620735178455,0.18503437502963152,-0.3916364585779251,0.6953330205126301,m6a
factor(sdist)253,-0.027330124370432668,0.19705371978878033,-0.1386937754827847,0.8896942035597685,m6a
factor(sdist)255,-0.025649388172402462,0.18893675144431082,-0.1357564792256028,0.8920158190030985,m6a
factor(sdist)257,-0.5324446961388167,0.24376428186535057,-2.184260516201985,0.028960237109047066,m6a
factor(sdist)258,-0.8180630896390231,0.24987897082051838,-3.2738372779141014,0.001063643409632164,m6a
factor(sdist)260,-0.2853358672614215,0.21959931286903123,-1.2993477235131219,0.1938467890447209,m6a
factor(sdist)346,0.3092178969566038,0.15029443311999413,2.057414173881784,0.03966554591685649,m6a
factor(sdist)347,0.13849447824417,0.15298448142008605,0.9052844900253157,0.3653308299579823,m6a
factor(sdist)348,0.13298626978588302,0.1642305534443216,0.8097535263495826,0.41809610500796335,m6a
factor(sdist)349,-0.12255692946730899,0.1707485588499968,-0.717762599536642,0.47291608465305357,m6a
factor(sdist)350,0.08611186968121802,0.15621071694161295,0.5512545577356524,0.5814682985617177,m6a
factor(sdist)351,0.009179093595377164,0.16064320973705476,0.05713963018045865,0.954434812422754,m6a
factor(sdist)352,0.25326829572207055,0.14839339258026596,1.7067356660444148,0.08789416833082771,m6a
factor(sdist)353,0.3125368957006531,0.1531441623474665,2.0408018882988355,0.04128991311859995,m6a
factor(sdist)354,-0.17271165503511715,0.18092594047701097,-0.9545986306870267,0.339797784541197,m6a
factor(sdist)355,0.07277434659508492,0.16442357790823497,0.442602864631132,0.6580600961038106,m6a
factor(sdist)356,0.17701971650907794,0.1557985419919189,1.1362090700326308,0.25588922359399396,m6a
factor(sdist)357,0.15936137178551224,0.1697026425156895,0.9390624060010074,0.34771548775996186,m6a
factor(sdist)358,0.2098344327453818,0.15299525957120846,1.3715093744307727,0.17023899379193128,m6a
factor(sdist)359,0.08341484047975076,0.15766875676121522,0.5290511715398386,0.5967786418276798,m6a
factor(sdist)360,0.058412695266508975,0.15706637223510647,0.3718981627656957,0.7099745040763806,m6a
factor(sdist)361,0.06211670675275286,0.1746367536493661,0.3556909153125358,0.7220776009691685,m6a
factor(sdist)362,0.015760460745661557,0.1619749149629213,0.09730186152139289,0.9224881206820179,m6a
factor(sdist)363,0.08391302762662552,0.16614683308065217,0.5050534281679138,0.6135295463526357,m6a
factor(sdist)364,-0.14344649455760924,0.1935112405668606,-0.7412824915875967,0.45853505608065404,m6a
factor(sdist)365,0.11221808895452777,0.19071259929550574,0.5884146583343864,0.5562638347523057,m6a
factor(sdist)366,0.07846753164871116,0.17326449364146562,0.4528771590738215,0.6506444694085034,m6a
factor(sdist)367,0.21798423251076893,0.15498811286732436,1.4064577500686881,0.15961123601383845,m6a
factor(sdist)368,0.45154078434385575,0.14869660156359574,3.036658401037748,0.002396722552271735,m6a
factor(sdist)369,0.1017517423846464,0.1954391155642894,0.5206314104055354,0.6026320933361322,m6a
factor(sdist)370,0.1697892956571778,0.16679717579130138,1.0179386722327972,0.3087253249633447,m6a
factor(sdist)371,-0.15728165276193362,0.20905421843484026,-0.7523486200827679,0.45185454008045056,m6a
factor(sdist)372,0.16102395827729798,0.17150538164507578,0.9388857465157057,0.34780618798315144,m6a
factor(sdist)373,-0.16519669338888643,0.173188827935977,-0.9538530594476623,0.3401750877011882,m6a
factor(sdist)374,-0.043235703159228665,0.1989615328695822,-0.21730684587944618,0.8279725029036828,m6a
factor(sdist)375,-0.021201341188542635,0.1617970694376279,-0.13103662051626755,0.8957482886887594,m6a
factor(sdist)376,-0.004289519509915573,0.1702601148868923,-0.025193918803386214,0.9799006594952587,m6a
factor(sdist)377,-0.2920219903976032,0.18545359602387043,-1.5746364409133158,0.11536379490528524,m6a
factor(sdist)378,0.08658007684706544,0.16651094592553847,0.5199662782876924,0.6030955958112665,m6a
factor(sdist)379,-0.06922921473877733,0.20305180672645362,-0.3409436037771445,0.7331513384208621,m6a
factor(sdist)380,-0.7537098413381182,0.25757832744478126,-2.9261384248241766,0.0034376948911754544,m6a
factor(sdist)381,-0.42003165334610454,0.24506115511175067,-1.713987078672527,0.08655403016972345,m6a
factor(sdist)382,-0.2876898955092054,0.1760723488781397,-1.6339300142370259,0.10229684023444156,m6a
factor(sdist)383,0.04141507151577429,0.17512482192053924,0.23648887154652395,0.8130569258338913,m6a
factor(sdist)384,-0.1539807166992583,0.19027886825881854,-0.8092370850651306,0.4183930343250627,m6a
factor(sdist)385,-0.46398246659046755,0.19472735381312054,-2.3827287615470327,0.017198591611143777,m6a
factor(sdist)386,-0.5642806687152051,0.21738881132789667,-2.5957208435353967,0.009449480987244898,m6a
factor(sdist)387,-0.76238287457032,0.22210129301819137,-3.4325908877436224,5.996347678915017e-4,m6a
factor(sdist)388,-0.32811390268223195,0.18979271339004683,-1.728801368722299,0.08386749020425358,m6a
factor(sdist)389,0.16087898724278207,0.16626095649696648,0.9676293859509788,0.3332468121022829,m6a
factor(sdist)390,-0.034084000816114055,0.17804421915680468,-0.19143559379535965,0.8481872118761785,m6a
factor(sdist)391,0.08447921488073641,0.17177401402448622,0.4918043940493466,0.6228656179567061,m6a
factor(sdist)392,-0.051244150016255145,0.16597409087824372,-0.3087478879691357,0.7575180721711944,m6a
factor(sdist)393,-0.022188032651426,0.18615709820974027,-0.11918982872426971,0.9051267363367258,m6a
factor(sdist)394,0.1832136188338373,0.16837192564332093,1.0881482654178167,0.2765490647684944,m6a
factor(sdist)395,-0.09447296054046653,0.15757702799763204,-0.5995351082639165,0.5488261565455468,m6a
factor(sdist)396,0.08790057288953078,0.164153420542556,0.535478167917573,0.5923280620225686,m6a
factor(sdist)397,0.13135747285070504,0.15776270410276363,0.83262691012916,0.40506989110754854,m6a
factor(sdist)398,0.08570096623421929,0.15427348300103486,0.5555132649312416,0.5785528351243425,m6a
factor(sdist)399,0.06601865279791214,0.16130478426057351,0.40927895040772555,0.6823414475287407,m6a
factor(sdist)400,-0.014489521313225109,0.1663512963976005,-0.08710194406055805,0.9305917706149721,m6a
factor(sdist)402,0.08136381870329298,0.16427595075214166,0.4952874619246862,0.6204052730692746,m6a
factor(sdist)403,0.12174952039111796,0.1622297995715625,0.7504756876520213,0.4529813272010581,m6a
factor(sdist)404,0.00830698969878486,0.1790751937612172,0.04638827703775423,0.96300146545965,m6a
factor(sdist)405,0.0486082215662324,0.1877750909905767,0.2588640554495684,0.7957440752455607,m6a
factor(sdist)407,0.15009278460255637,0.17069313397555524,0.8793135441760123,0.37924692895313106,m6a
factor(sdist)408,-0.13190265024617528,0.1940628943591148,-0.6796902142564588,0.4967122754310028,m6a
factor(sdist)411,0.07947793955496904,0.18308548879095699,0.43410288865501084,0.6642206580884582,m6a
factor(sdist)412,0.01868252236730881,0.1679649172794024,0.11122871769841816,0.9114366313115466,m6a
factor(sdist)413,-0.09625739311991782,0.19185766997231504,-0.5017125097673067,0.6158779367264182,m6a
factor(sdist)415,0.1410073585306735,0.16700056296115917,0.8443525939698111,0.3984873511445076,m6a
factor(sdist)417,0.318480156975808,0.1517389283400618,2.0988691594161173,0.03584694305094119,m6a
factor(sdist)418,0.2443747007370993,0.16336510953592995,1.4958806163157647,0.134708119966012,m6a
factor(sdist)419,0.2561576981344555,0.15727967922822728,1.628676376957427,0.10340485530821039,m6a
factor(sdist)420,0.03622213369632011,0.164393512628914,0.22033797512487277,0.8256112752666049,m6a
factor(sdist)421,0.24940355492317984,0.15703897575896247,1.5881634079554034,0.11227278723324008,m6a
factor(sdist)422,0.12212362346435318,0.16074165161234408,0.7597509558933433,0.44741671670462313,m6a
factor(sdist)423,0.27700195244303066,0.1725866733162889,1.6050019802826048,0.10851673521540645,m6a
factor(sdist)424,-0.009069888271249061,0.20552682448607437,-0.044129948944273203,0.9648014722268308,m6a
factor(sdist)425,0.3215706382961174,0.16512950439091129,1.947384505768653,0.05150933729870221,m6a
factor(sdist)426,0.34233243404585473,0.16349605545083004,2.0938268700238343,0.036293991232917905,m6a
factor(sdist)427,0.33061760608991037,0.15523420647626185,2.1297986674120555,0.0332062553137078,m6a
factor(sdist)428,0.2783354947200513,0.1584905440875806,1.7561646741918266,0.0790829438621202,m6a
factor(sdist)429,0.4158695759298636,0.15676556506536354,2.652812023842522,0.007991760991016804,m6a
factor(sdist)430,0.15845255297017904,0.1670124484630444,0.9487469612496614,0.34276628853012503,m6a
factor(sdist)431,0.2833609850228177,0.1604573378375037,1.76595840889358,0.07742540198856139,m6a
factor(sdist)432,0.09534718603875457,0.16646915605525406,0.5727618755218964,0.5668154648556307,m6a
factor(sdist)433,0.005654282946961852,0.17301770988337334,0.032680370990768835,0.973929959835752,m6a
factor(sdist)434,-0.13007737036925668,0.16925205817222905,-0.7685423254167543,0.4421784850438605,m6a
factor(sdist)435,0.16961350662636449,0.16022579866366501,1.0585904894280196,0.2898052408787782,m6a
factor(sdist)437,0.21100188538825687,0.17245310790781565,1.223531938322894,0.22115018163695382,m6a
factor(sdist)438,-0.1203681015956285,0.21139136424209828,-0.5694087931509615,0.5690882148225411,m6a
factor(sdist)439,0.03346074713006338,0.18137652525847262,0.184482237061162,0.8536379289318821,m6a
factor(sdist)440,0.0014203894682454615,0.19262573513833603,0.007373830226918511,0.994116696866975,m6a
factor(sdist)441,0.21817485024589037,0.16500564827720277,1.3222265572349712,0.18611509815689542,m6a
factor(sdist)442,-0.1379386935982277,0.1690791541422177,-0.8158231823315322,0.41461565105073117,m6a
factor(sdist)443,0.18459841715012437,0.16329591034556257,1.1304534005749562,0.25830528586888235,m6a
factor(sdist)444,-0.12302081229077581,0.3738431264416514,-0.32907068122857847,0.7421073636225133,m6a
factor(sdist)445,-0.3279591336120689,0.18139159792271375,-1.8080172255376668,0.07062604163830499,m6a
factor(sdist)446,-0.06694642494492989,0.4268234653327554,-0.15684804229949695,0.8753669521860064,m6a
factor(sdist)447,0.025993083630645515,0.17529888162913748,0.14827866207176674,0.8821250666864701,m6a
factor(sdist)448,0.1802205863773283,0.17811327444612557,1.0118313019495924,0.3116368360760038,m6a
factor(sdist)449,0.1441573539752843,0.16582081140004065,0.8693562210807574,0.38466776051990226,m6a
factor(sdist)450,0.47604336390530966,0.17242468927780544,2.7608770292653566,0.005772413036192283,m6a
