outcome,model,term,estimate,std.error,statistic,p.value
c_stunting,m1a,(Intercept),3.717743341114683,0.2111905547026741,17.603738701045277,1.3387383747991166e-68
c_stunting,m1a,exposure_estimate,0.003874173734191967,0.0017424862527630047,2.2233597126225897,0.026208003954807123
c_stunting,m1a,exposure_gt20,1.2379583886171287e-4,1.6360143102068142e-4,0.7566916627157338,0.4492477846406575
c_stunting,m1a,m_rural,0.08883035015890015,0.018246861217007367,4.8682537288168755,1.1385976470047148e-6
c_stunting,m1a,factor(sdist)37,-0.07213907233017765,0.20391980598612933,-0.35376197020844835,0.7235227875300074
c_stunting,m1a,factor(sdist)38,-0.2464208847250449,0.2107187632908243,-1.1694301963273492,0.24225094759887336
c_stunting,m1a,factor(sdist)39,-0.333384384882858,0.18685351555202534,-1.7842018326384352,0.07441327370198676
c_stunting,m1a,factor(sdist)40,0.16981769395100607,0.18538065767946182,0.9160486108784587,0.3596577233264876
c_stunting,m1a,factor(sdist)41,-0.1256605745839803,0.17560719415937298,-0.7155776002544438,0.4742645554636402
c_stunting,m1a,factor(sdist)42,-0.12300724973352264,0.19397613330495897,-0.6341360023923004,0.5260027880460125
c_stunting,m1a,factor(sdist)44,0.22004310234113733,0.18688528249661374,1.1774233872328839,0.23904726759139383
c_stunting,m1a,factor(sdist)45,0.09856468040365061,0.16988292366077162,0.5801918066848681,0.5617949386873913
c_stunting,m1a,factor(sdist)46,-0.17119895630399154,0.20739831768002148,-0.8254597154839073,0.4091251961756325
c_stunting,m1a,factor(sdist)47,0.258788698673041,0.16818010280461423,1.5387593083689137,0.12388644869451658
c_stunting,m1a,factor(sdist)48,-0.2409735518852089,0.1890005911324294,-1.2749883502552801,0.202335255646353
c_stunting,m1a,factor(sdist)49,-0.24262501605686432,0.2184410407540354,-1.1107116832045316,0.2667122069075666
c_stunting,m1a,factor(sdist)50,-0.08019648061750516,0.20027803542438505,-0.4004257403842137,0.6888492898031777
c_stunting,m1a,factor(sdist)51,-0.4938670998802147,0.24217454468567098,-2.0393022748168126,0.0414392553268248
c_stunting,m1a,factor(sdist)52,-0.046457878819850876,0.21140105321357117,-0.2197618134518757,0.826059975876601
c_stunting,m1a,factor(sdist)53,-0.009993322327185911,0.20143200623944543,-0.04961139251776448,0.9604328000947351
c_stunting,m1a,factor(sdist)54,0.36232031194205244,0.18662768126908105,1.9414071346664623,0.05222964540304938
c_stunting,m1a,factor(sdist)55,0.039990734951876425,0.19649000079213147,0.20352554730855227,0.8387273399670889
c_stunting,m1a,factor(sdist)56,0.2327958359666714,0.17143263580320728,1.3579435145237153,0.1745042495851819
c_stunting,m1a,factor(sdist)57,0.3215600139291098,0.1669354024510546,1.9262541630340582,0.05409356711308627
c_stunting,m1a,factor(sdist)58,0.003568252122855051,0.1660610736062524,0.021487589146362725,0.9828570204174134
c_stunting,m1a,factor(sdist)59,0.1540891466482771,0.1777497935852694,0.8668879076608215,0.3860188005496047
c_stunting,m1a,factor(sdist)60,-0.20408165105003306,0.2044886555558485,-0.9980096475048501,0.3182925259177246
c_stunting,m1a,factor(sdist)61,0.08577091724055455,0.2006535766615429,0.42745770430611685,0.669052787044774
c_stunting,m1a,factor(sdist)62,0.08981614929792599,0.18779467084617332,0.47826782779952437,0.6324673180667849
c_stunting,m1a,factor(sdist)63,-0.06832924053596584,0.21520156682587005,-0.31751274650920325,0.7508594680435586
c_stunting,m1a,factor(sdist)64,0.03180395302446196,0.19997182047684756,0.1590421737854018,0.8736380202658377
c_stunting,m1a,factor(sdist)65,-0.031548122382605896,0.18373529448924847,-0.17170420343192136,0.8636726485443489
c_stunting,m1a,factor(sdist)66,-0.11635336715952825,0.1874014831004549,-0.6208775151323539,0.5346906734856346
c_stunting,m1a,factor(sdist)67,-0.12729974359955668,0.16367616508439703,-0.7777537036862794,0.4367278228478838
c_stunting,m1a,factor(sdist)68,-0.07610683269593763,0.18525868358542516,-0.4108138480906553,0.6812155429734436
c_stunting,m1a,factor(sdist)69,-0.09568975780882655,0.21266389138754713,-0.4499577111304087,0.652748141048541
c_stunting,m1a,factor(sdist)70,-0.13351295030306337,0.1800911520031698,-0.7413631864641157,0.4584861245997425
c_stunting,m1a,factor(sdist)71,0.015008642277760878,0.17290322375460213,0.08680371569625749,0.9308288184053781
c_stunting,m1a,factor(sdist)72,-0.11272446190355692,0.1873066707049568,-0.6018176580647207,0.5473056021639174
c_stunting,m1a,factor(sdist)73,0.20068720308400573,0.18792075749724296,1.067935260355419,0.28556876659500124
c_stunting,m1a,factor(sdist)74,0.06647341466845907,0.16391206325568655,0.4055431512979441,0.685084717924697
c_stunting,m1a,factor(sdist)75,-0.09927284887498367,0.16099960187443185,-0.6166030705616861,0.5375069416398911
c_stunting,m1a,factor(sdist)76,-0.0769109526482415,0.17718690543687066,-0.43406679776143986,0.6642468554264656
c_stunting,m1a,factor(sdist)77,-0.07928121824620206,0.17630243502165047,-0.4496887308247676,0.6529421008927259
c_stunting,m1a,factor(sdist)78,-0.00698027380621738,0.16801130200656816,-0.04154645385668457,0.9668608729258794
c_stunting,m1a,factor(sdist)79,-0.021538725248807875,0.2080789644906126,-0.1035122666125128,0.9175579483808332
c_stunting,m1a,factor(sdist)80,0.0074306025709241184,0.17804155261831006,0.04173521552496248,0.9667103962142087
c_stunting,m1a,factor(sdist)82,-0.017996208758990797,0.1805055888735204,-0.09969890057864454,0.9205848502733047
c_stunting,m1a,factor(sdist)83,-0.4705341205576013,0.20058894678760092,-2.3457629550038925,0.019002536463959507
