row_category,m_rural,daterange,n
Table Order 01 - 0,0,01-03-2010 to 10-10-2016,17216
Table Order 01 - 1,0,12-01-2015 to 02-03-2020,1888
Table Order 01 - 2,0,23-12-2017 to 03-07-2018,618
Table Order 02,0,01-04-2017 to 22-12-2017,1711
Table Order 03,0,08-02-2017 to 31-03-2017,281
Table Order 04,0,02-10-2016 to 07-02-2017,867
Table Order 05,0,12-08-2016 to 01-10-2016,399
Table Order 06,0,05-04-2016 to 11-08-2016,859
Table Order 07,0,14-02-2016 to 04-04-2016,307
Table Order 08,0,08-10-2015 to 13-02-2016,459
Table Order 09,0,18-08-2015 to 07-10-2015,161
Table Order 10,0,19-02-2015 to 17-08-2015,453
Table Order 11,0,02-10-2020 to 28-03-2021,360
Table Order 12,0,23-06-2020 to 01-10-2020,314
Table Order 13,0,04-04-2020 to 22-06-2020,234
Table Order 14,0,26-12-2019 to 02-04-2020,300
Table Order 15,0,07-10-2019 to 25-12-2019,320
Table Order 16,0,29-06-2019 to 06-10-2019,383
Table Order 17,0,10-04-2019 to 28-06-2019,250
Table Order 18,0,31-12-2018 to 09-04-2019,368
Table Order 19,0,04-07-2018 to 30-12-2018,737
Table Order 01 - 0,1,02-02-2010 to 19-11-2016,50576
Table Order 01 - 1,1,14-01-2015 to 13-03-2020,7617
Table Order 01 - 2,1,23-12-2017 to 03-07-2018,2468
Table Order 02,1,01-04-2017 to 22-12-2017,6625
Table Order 03,1,08-02-2017 to 31-03-2017,1064
Table Order 04,1,02-10-2016 to 07-02-2017,3143
Table Order 05,1,12-08-2016 to 01-10-2016,1366
Table Order 06,1,05-04-2016 to 11-08-2016,3200
Table Order 07,1,14-02-2016 to 04-04-2016,1037
Table Order 08,1,08-10-2015 to 13-02-2016,1559
Table Order 09,1,18-08-2015 to 07-10-2015,567
Table Order 10,1,19-02-2015 to 17-08-2015,1897
Table Order 11,1,02-10-2020 to 17-04-2021,1784
Table Order 12,1,23-06-2020 to 01-10-2020,1472
Table Order 13,1,04-04-2020 to 22-06-2020,1006
Table Order 14,1,26-12-2019 to 03-04-2020,1354
Table Order 15,1,07-10-2019 to 25-12-2019,1176
Table Order 16,1,29-06-2019 to 06-10-2019,1553
Table Order 17,1,10-04-2019 to 28-06-2019,945
Table Order 18,1,31-12-2018 to 09-04-2019,1328
Table Order 19,1,04-07-2018 to 30-12-2018,2749
