term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.92 (0.84, 1.02)","0.98 (0.88, 1.1)","1.16 (1, 1.33)"
factor(e_interaction)3,"0.97 (0.82, 1.13)","0.96 (0.8, 1.15)","0.99 (0.78, 1.25)"
factor(e_interaction)4,"0.94 (0.84, 1.05)","0.98 (0.87, 1.12)","1.12 (0.94, 1.34)"
factor(e_interaction)5,"0.96 (0.82, 1.12)","1.08 (0.92, 1.27)","1.31 (1.03, 1.66)"
factor(e_interaction)6,"0.92 (0.82, 1.03)","0.97 (0.86, 1.1)","1.11 (0.93, 1.32)"
factor(e_interaction)7,"0.97 (0.84, 1.13)","0.96 (0.81, 1.14)","1.15 (0.89, 1.48)"
factor(e_interaction)8,"0.93 (0.83, 1.04)","1.09 (0.96, 1.24)","1.34 (1.13, 1.58)"
factor(e_interaction)9,"1 (0.87, 1.16)","1.16 (0.99, 1.35)","1.49 (1.21, 1.84)"
factor(e_interaction)10,"0.87 (0.8, 0.94)","0.94 (0.85, 1.03)","1.28 (1.13, 1.44)"
