period,est,min,n_overall,n,max,se,lci,uci
Curr,2254.333572807302,0,61790,35510,12079.425972762787,12.650835960518839,2229.537934324685,2279.129211289919
Pre,5949.383456295096,-0,61792,57219,12079.425972762787,12.387776027530755,5925.103415281135,5973.663497309057
Pre2,1117.2611390912862,-0,54541,17064,9684.187992510802,9.190655004385556,1099.2474552826905,1135.2748228998819
