term,c_stunting,c_underweight,c_wasting
exposure_estimate_centered,"1.41 	(1.19, 1.67)","1.35 	(1.02, 1.79)","1.29 	(1.11, 1.49)"
exposure_gt20_centered,"0.95 	(0.92, 0.98)","0.93 	(0.89, 0.97)","0.89 	(0.85, 0.93)"
