term,Stunting,Underweight,Wasting
e1_p1_d,"0.95 (0.92, 0.98)","0.97 (0.93, 1)","0.97 (0.91, 1.02)"
e1_p2_d,"0.91 (0.89, 0.95)","0.95 (0.91, 0.99)","0.98 (0.92, 1.05)"
e1_p3_d,"0.96 (0.93, 0.99)","0.94 (0.91, 0.98)","0.92 (0.87, 0.97)"
e1_p4_d,"0.98 (0.95, 1.01)","1 (0.97, 1.04)","0.93 (0.89, 0.98)"
e1_p5_d,"0.94 (0.91, 0.97)","1 (0.97, 1.03)","1 (0.96, 1.05)"
e2_p1_d,"1.2 (1.1, 1.3)","1.12 (1.02, 1.22)","0.91 (0.84, 0.98)"
e2_p2_d,"0.93 (0.87, 0.99)","0.92 (0.86, 0.98)","0.91 (0.85, 0.97)"
e2_p3_d,"1.07 (1.03, 1.12)","1.01 (0.96, 1.06)","0.91 (0.86, 0.96)"
e2_p4_d,"1.01 (0.98, 1.05)","1.01 (0.97, 1.05)","0.97 (0.92, 1.03)"
e2_p5_d,"0.93 (0.9, 0.97)","0.93 (0.89, 0.97)","0.94 (0.89, 0.99)"
