term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.94 (0.91, 0.98)","1.02 (0.98, 1.06)","1 (0.96, 1.05)"
factor(e_interaction)3,"0.87 (0.81, 0.93)","0.95 (0.89, 1.02)","0.87 (0.8, 0.96)"
factor(e_interaction)4,"0.96 (0.91, 1)","1.02 (0.97, 1.07)","0.93 (0.87, 0.99)"
factor(e_interaction)5,"1 (0.94, 1.06)","0.96 (0.9, 1.03)","0.86 (0.79, 0.94)"
factor(e_interaction)6,"0.92 (0.88, 0.96)","0.95 (0.9, 1)","0.88 (0.82, 0.95)"
factor(e_interaction)7,"0.84 (0.79, 0.9)","0.85 (0.79, 0.92)","0.87 (0.77, 0.98)"
factor(e_interaction)8,"0.85 (0.81, 0.89)","0.9 (0.85, 0.95)","0.93 (0.86, 1.02)"
factor(e_interaction)9,"0.99 (0.93, 1.06)","1.08 (1, 1.16)","0.97 (0.85, 1.1)"
factor(e_interaction)10,"0.9 (0.87, 0.93)","0.92 (0.88, 0.97)","0.93 (0.87, 0.99)"
factor(e_interaction)11,"0.89 (0.85, 0.93)","0.9 (0.86, 0.95)","0.89 (0.83, 0.96)"
factor(e_interaction)12,"0.99 (0.94, 1.04)","0.98 (0.92, 1.05)","0.91 (0.83, 0.99)"
factor(e_interaction)13,"1 (0.94, 1.06)","0.97 (0.9, 1.05)","0.87 (0.78, 0.96)"
factor(e_interaction)14,"1.01 (0.95, 1.07)","0.98 (0.92, 1.05)","0.87 (0.8, 0.95)"
factor(e_interaction)15,"1.08 (1.01, 1.15)","1.01 (0.94, 1.09)","0.86 (0.78, 0.94)"
factor(e_interaction)16,"1.06 (0.98, 1.14)","0.95 (0.87, 1.03)","0.77 (0.69, 0.85)"
factor(e_interaction)17,"0.95 (0.85, 1.05)","0.98 (0.88, 1.1)","0.86 (0.76, 0.98)"
factor(e_interaction)18,"0.96 (0.87, 1.06)","0.95 (0.86, 1.04)","0.82 (0.73, 0.91)"
factor(e_interaction)19,"1.33 (1.2, 1.47)","1.2 (1.07, 1.35)","0.85 (0.76, 0.94)"
