term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.95 (0.91, 0.98)","1.01 (0.98, 1.05)","1 (0.95, 1.05)"
factor(e_interaction)3,"0.87 (0.81, 0.93)","0.94 (0.88, 1.01)","0.86 (0.79, 0.95)"
factor(e_interaction)4,"0.96 (0.92, 1.01)","1.02 (0.97, 1.07)","0.93 (0.87, 0.99)"
factor(e_interaction)5,"1 (0.94, 1.06)","0.96 (0.9, 1.02)","0.85 (0.78, 0.93)"
factor(e_interaction)6,"0.92 (0.88, 0.96)","0.95 (0.9, 0.99)","0.88 (0.82, 0.94)"
factor(e_interaction)7,"0.84 (0.79, 0.9)","0.85 (0.79, 0.92)","0.86 (0.77, 0.97)"
factor(e_interaction)8,"0.85 (0.81, 0.89)","0.9 (0.85, 0.95)","0.93 (0.85, 1.01)"
factor(e_interaction)9,"0.99 (0.93, 1.05)","1.07 (1, 1.16)","0.96 (0.84, 1.1)"
factor(e_interaction)10,"0.9 (0.86, 0.93)","0.92 (0.88, 0.96)","0.92 (0.86, 0.98)"
factor(e_interaction)11,"0.88 (0.85, 0.92)","0.9 (0.85, 0.94)","0.89 (0.82, 0.95)"
factor(e_interaction)12,"0.98 (0.93, 1.03)","0.98 (0.92, 1.04)","0.9 (0.82, 0.98)"
factor(e_interaction)13,"0.99 (0.93, 1.05)","0.97 (0.9, 1.05)","0.87 (0.78, 0.96)"
factor(e_interaction)14,"1 (0.94, 1.06)","0.98 (0.91, 1.05)","0.86 (0.79, 0.94)"
factor(e_interaction)15,"1.06 (1, 1.14)","1.01 (0.94, 1.09)","0.85 (0.77, 0.93)"
factor(e_interaction)16,"1.05 (0.97, 1.13)","0.95 (0.88, 1.03)","0.76 (0.68, 0.84)"
factor(e_interaction)17,"0.92 (0.83, 1.02)","0.98 (0.87, 1.09)","0.85 (0.75, 0.96)"
factor(e_interaction)18,"0.94 (0.85, 1.04)","0.94 (0.86, 1.04)","0.8 (0.72, 0.88)"
factor(e_interaction)19,"1.29 (1.16, 1.43)","1.19 (1.05, 1.34)","0.81 (0.73, 0.9)"
